u,F,fracture_dissipation,l,a,Nl_Ntot
0.0,0.0,0.0,0.0,0.0006326944510669466,0.0
2.7823027396188995e-16,2.761790025195191e-09,0.0,0.01,0.0006326944510669466,0.0012106537530266344
6.126656708529218e-06,60.715425599992855,1.5918989836261055e-07,219830000.0,0.0006327534102885624,0.002421307506053269
9.343593766057164e-06,92.23097198525873,1.4222951032225594e-06,333900000.0,0.0006332212270311031,0.0036319612590799033
1.0358335407790615e-05,101.85696493082685,3.258114535582779e-06,368720000.0,0.0006339011601541994,0.004842615012106538
1.061083809777384e-05,104.01993161804447,4.89722197230269e-06,376520000.0,0.0006345082369826143,0.006053268765133172
1.0664915841301954e-05,104.29751203194932,6.221903264232997e-06,377500000.0,0.0006349988596833292,0.007263922518159807
1.0670509881279443e-05,104.12124522472836,7.441932641159444e-06,376840000.0,0.0006354507224155242,0.00847457627118644
1.0690919362199931e-05,104.0876163830916,8.669238133251156e-06,376700000.0,0.0006359052800051877,0.009685230024213076
1.0698500581305946e-05,103.92134498350315,9.92567104190023e-06,376070000.0,0.0006363706255269097,0.010895883777239709
1.0710179170129416e-05,103.81020161132473,1.110376858609108e-05,375650000.0,0.000636806957950684,0.012106537530266344
1.0726191044928392e-05,103.70645396435866,1.2473849321709363e-05,375250000.0,0.0006373143952601723,0.013317191283292978
1.0737467475006048e-05,103.5765678923246,1.3742752846210182e-05,374760000.0,0.0006377843595285059,0.014527845036319613
1.0749553924357786e-05,103.44021282212505,1.5088300307378955e-05,374250000.0,0.0006382827104400499,0.015738498789346248
1.0762185796477527e-05,103.31878946190743,1.6390543201393104e-05,373780000.0,0.0006387650226230182,0.01694915254237288
1.0771400983145382e-05,103.19112677731846,1.7549228167225816e-05,373300000.0,0.0006391941652029562,0.018159806295399514
1.0782533848203793e-05,103.06519764207782,1.880184715755151e-05,372820000.0,0.0006396580981623361,0.01937046004842615
1.0774134230303664e-05,102.7918740588837,1.9838524431131878e-05,371820000.0,0.0006400420527081066,0.020581113801452784
1.0799645443997006e-05,102.80103570754757,2.1071419154677694e-05,371830000.0,0.0006404986803834939,0.021791767554479417
1.080930199815874e-05,102.59079421168865,2.2654504485551065e-05,371050000.0,0.0006410850082838173,0.023002421307506054
1.0796804696283965e-05,102.28280777246547,2.3681646709646788e-05,369920000.0,0.0006414654313297788,0.024213075060532687
1.080898249806392e-05,102.17417485115946,2.488939749065411e-05,369500000.0,0.0006419127464338555,0.025423728813559324
1.0804617490773117e-05,101.9432407131976,2.5901911176638537e-05,368650000.0,0.0006422877515027387,0.026634382566585957
1.0824520249163946e-05,101.86880073139537,2.730208694857317e-05,368360000.0,0.0006428063351219737,0.02784503631961259
1.0839108180341298e-05,101.73767114882847,2.8760842292071098e-05,367860000.0,0.0006433466148788248,0.029055690072639227
1.0833090824921395e-05,101.49310446714391,2.9792750541828505e-05,366960000.0,0.0006437288031194756,0.03026634382566586
1.0832147005899379e-05,101.2767720889089,3.092573440480839e-05,366160000.0,0.0006441484267724312,0.031476997578692496
1.0856284428974741e-05,101.2413398586187,3.233252544217624e-05,366000000.0,0.0006446694604899749,0.03268765133171913
1.0876088511686836e-05,101.20079192192672,3.3562583997162276e-05,365840000.0,0.0006451250377325623,0.03389830508474576
1.0900746502441477e-05,101.17930561628759,3.494457668228579e-05,365740000.0,0.0006456368868752007,0.035108958837772396
1.0885798196850824e-05,100.83763390998709,3.605925666230037e-05,364480000.0,0.0006460497313122431,0.03631961259079903
1.0889507306502198e-05,100.65856840057502,3.7226297635019725e-05,363820000.0,0.0006464819687095465,0.03753026634382567
1.0894406297664417e-05,100.49384351987464,3.8363205800248105e-05,363200000.0,0.0006469030458077792,0.0387409200968523
1.0892083569601131e-05,100.26739958912844,3.947078270334292e-05,362370000.0,0.0006473132594755921,0.039951573849878935
1.0904107347893267e-05,100.14438004242906,4.07452024286552e-05,361900000.0,0.0006477852667812633,0.04116222760290557
1.09157025918659e-05,100.0058808778151,4.20819444950713e-05,361380000.0,0.0006482803564354916,0.0423728813559322
1.0921284940343269e-05,99.82064781489805,4.337048511815e-05,360690000.0,0.0006487575937032985,0.043583535108958835
1.0924626181209212e-05,99.62066061482854,4.462286220443379e-05,359950000.0,0.0006492214370685887,0.044794188861985475
1.0940788122162721e-05,99.52428061872222,4.593877089769327e-05,359580000.0,0.0006497088106586849,0.04600484261501211
1.0947992488895512e-05,99.36106349264259,4.7185742830021306e-05,358970000.0,0.0006501706521151026,0.04721549636803874
1.0946505172044665e-05,99.11916569954407,4.843138151826043e-05,358080000.0,0.0006506319997774135,0.048426150121065374
1.095437923871984e-05,98.95647817449311,4.9703580199326194e-05,357470000.0,0.0006511031844741045,0.04963680387409201
1.0963824718321745e-05,98.8080819803016,5.097277093373909e-05,356920000.0,0.0006515732551164796,0.05084745762711865
1.0972268062759892e-05,98.64894277919689,5.224908291070785e-05,356320000.0,0.0006520459632560977,0.05205811138014528
1.0981038028325701e-05,98.49098836049029,5.3533815412379895e-05,355730000.0,0.0006525217901085688,0.053268765133171914
1.0992215546279287e-05,98.34207970782438,5.488578021162738e-05,355180000.0,0.0006530225178119938,0.05447941888619855
1.0998251963908216e-05,98.1428836346713,5.625971689407572e-05,354440000.0,0.0006535313832499376,0.05569007263922518
1.0993862342827826e-05,97.87689406503608,5.748835757800386e-05,353460000.0,0.0006539864353550962,0.05690072639225181
1.1017504997833448e-05,97.82387129863115,5.891680377637876e-05,353250000.0,0.0006545154895026425,0.05811138014527845
1.1014592807710228e-05,97.59460775374659,6.000855073232736e-05,352410000.0,0.0006549198402270678,0.059322033898305086
1.1033161283563174e-05,97.51770922028824,6.131550252153262e-05,352110000.0,0.0006554038964452921,0.06053268765133172
